Ejercicio;Brand;Ind;Cantidad Total;Source;Cantidad de países en los que opera ;Qué muestra?;Check;Observaciones;;;;
2004;Inditex;vUE;0,373;Memoria Anual Inditex 2004, Pág. 14;Ventas Europa sin España;volumen de negocio;ok;;;;;
2003;Inditex;vUE;0,355;Informe Anual Inditex 2003, Pág. 78;Ventas Europa sin España;volumen de negocio;ok;;;;;
2002;Inditex;vUE;0,341;Informe Anual Inditex 2003, Pág. 78;Ventas Europa sin España;volumen de negocio;ok;;;;;
2001;Inditex;vUE;0,308;Informe Anual Inditex 2001, Pág. 67;Ventas Europa sin España;;ok;;;;;
2020;Inditex;vAm;;;Ventas América;volumen de negocio;;;;;;
2019;Inditex;vAm;0,158;Memoria Anual Inditex 2019, Pág. 12;Ventas América;volumen de negocio;;;;;;
2018;Inditex;vAm;0,155;Memoria Anual Inditex, 2018, Pág. 20;Ventas América;volumen de negocio;ok;;;;;
2017;Inditex;vAm;0,156;Memoria Anual Inditex, 2018, Pág. 20;Ventas América;volumen de negocio;ok;;;;;
2016;Inditex;vAm;0,153;Memoria Anual Inditex, 2018, Pág. 20;Ventas América;volumen de negocio;ok;;;;;
2015;Inditex;vAm;0,147;Memoria Anual Inditex, 2018, Pág. 20;Ventas América;volumen de negocio;ok;;;;;
2014;Inditex;vAm;0,139;Memoria Anual Inditex, 2018, Pág. 20;Ventas América;volumen de negocio;ok;;;;;
2013;Inditex;vAm;0,14;Memoria Anual Inditex, 2017, Pág. 8;Ventas América;;ok;;;;;
2012;Inditex;vAm;0,14;Memoria Anual Inditex 2012, Pág. 3;Ventas América;;ok;;;;;
2011;Inditex;vAm;0,119655001;Informe Anual Inditex 2011, Pág, 120;Ventas América;volumen de negocio;ok;;;;;
2010;Inditex;vAm;0,115031978;Informe Anual Inditex 2011, Pág, 120;Ventas América;volumen de negocio;ok;;;;;
2009;Inditex;vAm;0,102;Informe Anual Inditex 2009, Pág. 20;Ventas América;;ok;;;;;
2008;Inditex;vAm;0,107;Memoria Anual Inditex 2008, Pág. 18;Ventas América;volumen de negocio;ok;;;;;
2007;Inditex;vAm;0,108;Informe Anual Inditex 2007, Pág. 255;Ventas América;;ok;;;;;
2006;Inditex;vAm;0,11;Informe Anual Inditex 2007, Pág. 255;Ventas América;;ok;;;;;
2005;Inditex;vAm;0,107;Memoria Anual Inditex 2005, Pág. 34;Ventas América;;ok;;;;;
2004;Inditex;vAm;0,105;Memoria Anual Inditex 2004, Pág. 14;Ventas América;volumen de negocio;ok;;;;;
2003;Inditex;vAm;0,117;Informe Anual Inditex 2003, Pág. 78;Ventas América;volumen de negocio;ok;;;;;
2002;Inditex;vAm;0,132;Informe Anual Inditex 2003, Pág. 78;Ventas América;volumen de negocio;ok;;;;;
2001;Inditex;vAm;0,159;Informe Anual Inditex 2001, Pág. 67;Ventas América;;ok;;;;;
2020;Inditex;vAsm;;;Ventas Asia y resto del mundo;volumen de negocio;;;;;;
2019;Inditex;vAsm;0,225;Memoria Anual Inditex 2019, Pág. 12;Ventas Asia y resto del mundo;volumen de negocio;;;;;;
2018;Inditex;vAsm;0,232;Memoria Anual Inditex, 2018, Pág. 20;Ventas Asia y resto del mundo;volumen de negocio;ok;;;;;
2017;Inditex;vAsm;0,232;Memoria Anual Inditex, 2018, Pág. 20;Ventas Asia y resto del mundo;volumen de negocio;ok;;;;;
2016;Inditex;vAsm;0,239;Memoria Anual Inditex, 2018, Pág. 20;Ventas Asia y resto del mundo;volumen de negocio;ok;;;;;
2015;Inditex;vAsm;0,235;Memoria Anual Inditex, 2018, Pág. 20;Ventas Asia y resto del mundo;volumen de negocio;ok;;;;;
2014;Inditex;vAsm;0,211;Memoria Anual Inditex, 2018, Pág. 20;Ventas Asia y resto del mundo;volumen de negocio;ok;;;;;
2013;Inditex;vAsm;0,204;Memoria Anual Inditex, 2017, Pág. 8;Ventas Asia y resto del mundo;;ok;;;;;
2012;Inditex;vAsm;0,2;Memoria Anual Inditex 2012, Pág. 3;Ventas Asia y resto del mundo;;ok;;;;;
2011;Inditex;vAsm;0,143043827;Informe Anual Inditex 2011, Pág, 120;Ventas Asia y resto del mundo;volumen de negocio;ok;;;;;
2010;Inditex;vAsm;0,119204381;Informe Anual Inditex 2011, Pág, 120;Ventas Asia y resto del mundo;volumen de negocio;ok;;;;;
2009;Inditex;vAsm;0,122;Informe Anual Inditex 2009, Pág. 20;Ventas Asia y resto del mundo;;ok;;;;;
2008;Inditex;vAsm;0,105;Memoria Anual Inditex 2008, Pág. 18;Ventas Asia y resto del mundo;volumen de negocio;ok;;;;;
2007;Inditex;vAsm;0,094;Informe Anual Inditex 2007, Pág. 255;Ventas Asia y resto del mundo;;ok;;;;;
2006;Inditex;vAsm;0,089;Informe Anual Inditex 2007, Pág. 255;Ventas Asia y resto del mundo;;ok;;;;;
2005;Inditex;vAsm;0,075;Memoria Anual Inditex 2005, Pág. 34;Ventas Asia y resto del mundo;;ok;;;;;
2004;Inditex;vAsm;0,067;Memoria Anual Inditex 2004, Pág. 14;Ventas Asia y resto del mundo;volumen de negocio;ok;;;;;
2003;Inditex;vAsm;0,067;Informe Anual Inditex 2003, Pág. 78;Ventas Asia y resto del mundo;volumen de negocio;ok;;;;;
2002;Inditex;vAsm;0,068;Informe Anual Inditex 2003, Pág. 78;Ventas Asia y resto del mundo;volumen de negocio;ok;;;;;
2001;Inditex;vAsm;0,073;Informe Anual Inditex 2001, Pág. 67;Ventas Asia y resto del mundo;;ok;;;;;
2020;Inditex;mo;;;Mercados en los que opera;Expansión Internacional;;;;;;
2019;Inditex;mo;;Memoria Anual Inditex 2019, Pág. 12;Mercados/Países con tienda ;Expansión Internacional;;;;;;
2018;Inditex;mo;96;Memoria Anual Inditex, 2018;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2017;Inditex;mo;96;Memoria Anual Inditex, 2018;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2016;Inditex;mo;93;Memoria Anual Inditex, 2018;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2015;Inditex;mo;88;Memoria Anual Inditex, 2018;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2014;Inditex;mo;88;Memoria Anual Inditex, 2018;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2013;Inditex;mo;87;Memoria Anual Inditex, 2013, Pág. 23;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2012;Inditex;mo;86;Memoria Anual Inditex, 2013, Pág. 23;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2011;Inditex;mo;82;Memoria Anual Inditex, 2013, Pág. 23;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2010;Inditex;mo;77;Memoria Anual Inditex, 2013, Pág. 23;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2009;Inditex;mo;74;Memoria Anual Inditex, 2013, Pág. 23;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2020;Inditex;mol;;;Mercados tienda on line;Expansión Internacional;;;;;;
2019;Inditex;mol;;;Mercados on line;Expansión Internacional;;;;;;
2018;Inditex;mol;156;Memoria Anual Inditex, 2018;Mercados on line;Expansión Internacional;ok;;;;;
2017;Inditex;mol;47;Memoria Anual Inditex, 2018;Mercados on line;Expansión Internacional;ok;;;;;
2016;Inditex;mol;43;Memoria Anual Inditex, 2018;Mercados on line;Expansión Internacional;ok;;;;;
2015;Inditex;mol;29;Memoria Anual Inditex, 2018;Mercados on line;Expansión Internacional;ok;;;;;
2014;Inditex;mol;27;Memoria Anual Inditex, 2018;Mercados on line;Expansión Internacional;ok;;;;;
2013;Inditex;mol;25;Memoria Anual Inditex, 2013;Mercados on line;Expansión Internacional;;;;;;
2012;Inditex;mol;22;Memoria Anual Inditex, 2013;Mercados on line;Expansión Internacional;;;;;;
2011;Inditex;mol;;;Mercados on line;Expansión Internacional;;;;;;
2010;Inditex;mol;;;Mercados on line;Expansión Internacional;;;;;;
2009;Inditex;mol;;;Mercados on line;Expansión Internacional;;;;;;
2008;Inditex;mol;;;Mercados on line;Expansión Internacional;;;;;;
2007;Inditex;mol;;;Mercados on line;Expansión Internacional;;;;;;
2020;Inditex;t;;;Cantidad Total de Tiendas;Inversión;;;;;;
2019;Inditex;t;7469;;Cantidad Total de Tiendas;Inversión;;;;;;
2018;Inditex;t;7490;Memoria Anual Inditex, 2018;Cantidad Total de Tiendas;Inversión;ok;;;;;
2017;Inditex;t;7475;Memoria Anual Inditex, 2018;Cantidad Total de Tiendas;Inversión;ok;;;;;
2016;Inditex;t;7292;Memoria Anual Inditex, 2018;Cantidad Total de Tiendas;Inversión;ok;;;;;
2015;Inditex;t;7013;Memoria Anual Inditex, 2018;Cantidad Total de Tiendas;Inversión;ok;;;;;
2014;Inditex;t;6683;Memoria Anual Inditex, 2018;Cantidad Total de Tiendas;Inversión;ok;;;;;
2013;Inditex;t;6340;Memoria Anual Inditex, 2013;Cantidad Total de Tiendas;Inversión;ok;;;;;
2012;Inditex;t;6009;Memoria Anual Inditex, 2013;Cantidad Total de Tiendas;Inversión;;;;;;
2011;Inditex;t;5527;Memoria Anual Inditex, 2011. Pág. 3, 2.;Cantidad Total de Tiendas;Inversión;;;;;;
2010;Inditex;t;5044;"Memoria Anual Inditex, 2010, ""Pág. 14""";Cantidad Total de Tiendas;Inversión;;;;;;
2009;Inditex;t;4607;"Memoria Anual Inditex, 2010, ""Pág. 14""";Cantidad Total de Tiendas;Inversión;;;;;;
